group_name,true_class,baseline_pred_class,baseline_confidence,source_image_path,sample_path
chocolate_cake__pred_chocolate_mousse,chocolate_cake,chocolate_mousse,0.796285,data/raw/food-101/images/chocolate_cake/2022682.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_cake__pred_chocolate_mousse/02_2022682.jpg
chocolate_cake__pred_chocolate_mousse,chocolate_cake,chocolate_mousse,0.682496,data/raw/food-101/images/chocolate_cake/482719.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_cake__pred_chocolate_mousse/03_482719.jpg
filet_mignon__pred_steak,filet_mignon,steak,0.950228,data/raw/food-101/images/filet_mignon/417941.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/filet_mignon__pred_steak/00_417941.jpg
filet_mignon__pred_steak,filet_mignon,steak,0.875537,data/raw/food-101/images/filet_mignon/3922425.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/filet_mignon__pred_steak/01_3922425.jpg
filet_mignon__pred_steak,filet_mignon,steak,0.853594,data/raw/food-101/images/filet_mignon/1513580.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/filet_mignon__pred_steak/02_1513580.jpg
filet_mignon__pred_steak,filet_mignon,steak,0.745673,data/raw/food-101/images/filet_mignon/1738332.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/filet_mignon__pred_steak/03_1738332.jpg
chocolate_mousse__pred_chocolate_cake,chocolate_mousse,chocolate_cake,0.922874,data/raw/food-101/images/chocolate_mousse/110591.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_mousse__pred_chocolate_cake/00_110591.jpg
chocolate_mousse__pred_chocolate_cake,chocolate_mousse,chocolate_cake,0.821098,data/raw/food-101/images/chocolate_mousse/752785.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_mousse__pred_chocolate_cake/01_752785.jpg
chocolate_mousse__pred_chocolate_cake,chocolate_mousse,chocolate_cake,0.785548,data/raw/food-101/images/chocolate_mousse/2049841.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_mousse__pred_chocolate_cake/02_2049841.jpg
chocolate_mousse__pred_chocolate_cake,chocolate_mousse,chocolate_cake,0.757278,data/raw/food-101/images/chocolate_mousse/1218674.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_mousse__pred_chocolate_cake/03_1218674.jpg
prime_rib__pred_steak,prime_rib,steak,0.904491,data/raw/food-101/images/prime_rib/1754833.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/prime_rib__pred_steak/00_1754833.jpg
prime_rib__pred_steak,prime_rib,steak,0.891489,data/raw/food-101/images/prime_rib/1890088.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/prime_rib__pred_steak/01_1890088.jpg
prime_rib__pred_steak,prime_rib,steak,0.887581,data/raw/food-101/images/prime_rib/3542867.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/prime_rib__pred_steak/02_3542867.jpg
prime_rib__pred_steak,prime_rib,steak,0.769396,data/raw/food-101/images/prime_rib/2685801.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/prime_rib__pred_steak/03_2685801.jpg
steak__pred_prime_rib,steak,prime_rib,0.922482,data/raw/food-101/images/steak/97656.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_prime_rib/00_97656.jpg
steak__pred_prime_rib,steak,prime_rib,0.716665,data/raw/food-101/images/steak/141056.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_prime_rib/01_141056.jpg
steak__pred_prime_rib,steak,prime_rib,0.669897,data/raw/food-101/images/steak/4176.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_prime_rib/02_4176.jpg
steak__pred_prime_rib,steak,prime_rib,0.591436,data/raw/food-101/images/steak/2514432.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_prime_rib/03_2514432.jpg
pork_chop__pred_steak,pork_chop,steak,0.943216,data/raw/food-101/images/pork_chop/1306525.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/pork_chop__pred_steak/00_1306525.jpg
pork_chop__pred_steak,pork_chop,steak,0.663223,data/raw/food-101/images/pork_chop/47842.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/pork_chop__pred_steak/01_47842.jpg
pork_chop__pred_steak,pork_chop,steak,0.646946,data/raw/food-101/images/pork_chop/177193.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/pork_chop__pred_steak/02_177193.jpg
pork_chop__pred_steak,pork_chop,steak,0.527408,data/raw/food-101/images/pork_chop/1572455.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/pork_chop__pred_steak/03_1572455.jpg
